tx_id,tx_type,strategy,selected_strategy,payload_bytes,cross_border,end_to_end_latency_ms,security_score,running_mean_latency_ms
1,Transfer,adaptive,ml_optimized,239,True,224.079,82.71,224.079
2,Transfer,adaptive,static_hybrid,235,False,8.943,81.48,116.511
3,SettleCrossBorder,adaptive,ml_optimized,411,True,212.102,85.28,148.375
4,Transfer,adaptive,static_hybrid,138,False,8.336,81.95,113.365
5,Transfer,adaptive,static_hybrid,226,False,8.978,82.81,92.488
6,Transfer,adaptive,static_hybrid,201,False,8.744,81.68,78.530
7,Transfer,adaptive,classical,229,False,6.698,25.42,68.269
8,Transfer,adaptive,ml_optimized,139,True,312.571,84.21,98.807
9,Transfer,adaptive,static_hybrid,255,False,8.900,82.23,88.817
10,IssueCBDC,adaptive,static_hybrid,259,False,9.432,81.01,80.878
11,SettleCrossBorder,adaptive,ml_optimized,370,True,232.013,83.08,94.618
12,Transfer,adaptive,static_hybrid,269,False,9.483,81.32,87.523
13,Transfer,adaptive,static_hybrid,222,False,9.042,82.69,81.486
14,SettleCrossBorder,adaptive,ml_optimized,262,True,286.322,85.80,96.117
15,IssueCBDC,adaptive,static_hybrid,369,False,9.427,81.32,90.338
16,Transfer,adaptive,static_hybrid,193,False,8.519,82.21,85.224
17,Transfer,adaptive,ml_optimized,200,True,197.986,82.72,91.857
18,IssueCBDC,adaptive,static_hybrid,351,False,9.607,82.32,87.288
19,SettleCrossBorder,adaptive,ml_optimized,407,True,237.028,82.39,95.169
20,IssueCBDC,adaptive,static_hybrid,285,False,8.916,82.45,90.856
21,Transfer,adaptive,static_hybrid,315,False,8.847,81.08,86.951
22,SettleCrossBorder,adaptive,ml_optimized,409,True,257.394,80.96,94.699
23,SettleCrossBorder,adaptive,ml_optimized,344,True,182.130,83.83,98.500
24,SettleCrossBorder,adaptive,ml_optimized,341,True,175.778,83.09,101.720
25,SettleCrossBorder,adaptive,ml_optimized,420,True,255.670,81.98,107.878
26,Transfer,adaptive,static_hybrid,245,False,8.577,82.90,104.059
27,Transfer,adaptive,ml_optimized,383,True,201.131,82.65,107.654
28,Transfer,adaptive,static_hybrid,261,False,9.393,81.97,104.145
29,Transfer,adaptive,ml_optimized,239,True,241.827,85.15,108.892
30,Transfer,adaptive,static_hybrid,120,False,8.258,81.38,105.538
31,Transfer,adaptive,ml_optimized,220,True,305.975,83.44,112.003
32,IssueCBDC,adaptive,static_hybrid,287,False,9.443,83.18,108.798
33,SettleCrossBorder,adaptive,ml_optimized,417,True,250.383,84.10,113.089
34,Transfer,adaptive,static_hybrid,260,False,9.476,83.44,110.041
35,Transfer,adaptive,static_hybrid,229,False,9.023,81.32,107.155
36,Transfer,adaptive,static_hybrid,255,False,8.797,82.68,104.423
37,SettleCrossBorder,adaptive,ml_optimized,345,True,222.879,82.68,107.625
38,IssueCBDC,adaptive,static_hybrid,360,False,9.721,81.98,105.048
39,Transfer,adaptive,static_hybrid,149,False,8.681,81.65,102.577
40,Transfer,adaptive,ml_optimized,216,True,204.079,84.64,105.115
41,Transfer,adaptive,ml_optimized,278,True,262.807,82.95,108.961
42,IssueCBDC,adaptive,static_hybrid,277,False,9.131,82.97,106.584
43,SettleCrossBorder,adaptive,ml_optimized,335,True,234.098,83.16,109.549
44,Transfer,adaptive,ml_optimized,234,True,231.137,83.28,112.313
45,IssueCBDC,adaptive,static_hybrid,407,False,9.491,81.57,110.028
46,Transfer,adaptive,ml_optimized,254,True,279.925,82.90,113.721
47,SettleCrossBorder,adaptive,ml_optimized,300,True,131.274,83.97,114.095
48,SettleCrossBorder,adaptive,ml_optimized,290,True,222.403,84.52,116.351
49,Transfer,adaptive,ml_optimized,246,True,221.567,81.94,118.498
50,IssueCBDC,adaptive,static_hybrid,340,False,9.256,82.04,116.314
51,SettleCrossBorder,adaptive,ml_optimized,242,True,229.030,83.26,118.524
52,Transfer,adaptive,static_hybrid,266,False,8.868,81.80,116.415
53,IssueCBDC,adaptive,static_hybrid,310,False,9.170,83.43,114.391
54,IssueCBDC,adaptive,static_hybrid,348,False,9.450,82.55,112.448
55,SettleCrossBorder,adaptive,ml_optimized,383,True,228.868,82.46,114.565
56,Transfer,adaptive,static_hybrid,274,False,9.216,82.09,112.684
57,Transfer,adaptive,static_hybrid,276,False,9.255,83.23,110.869
58,Transfer,adaptive,static_hybrid,199,False,9.036,83.25,109.113
59,SettleCrossBorder,adaptive,ml_optimized,446,True,208.474,83.96,110.797
60,Transfer,adaptive,static_hybrid,259,False,9.103,82.41,109.102
61,SettleCrossBorder,adaptive,ml_optimized,429,True,223.479,81.85,110.977
62,SettleCrossBorder,adaptive,ml_optimized,339,True,311.862,83.27,114.218
63,IssueCBDC,adaptive,static_hybrid,424,False,10.121,83.47,112.565
64,IssueCBDC,adaptive,static_hybrid,228,False,8.819,81.52,110.944
65,Transfer,adaptive,static_hybrid,153,False,8.579,82.67,109.369
66,Transfer,adaptive,ml_optimized,226,True,250.251,83.50,111.504
67,Transfer,adaptive,static_hybrid,228,False,8.642,83.46,109.969
68,Transfer,adaptive,static_hybrid,126,False,8.049,82.06,108.470
69,Transfer,adaptive,ml_optimized,208,True,333.805,82.13,111.736
70,IssueCBDC,adaptive,static_hybrid,318,False,9.145,81.52,110.270
71,Transfer,adaptive,static_hybrid,176,False,8.350,81.65,108.835
72,Transfer,adaptive,ml_optimized,276,True,211.829,83.62,110.265
73,Transfer,adaptive,static_hybrid,239,False,8.915,81.85,108.877
74,Transfer,adaptive,static_hybrid,244,False,8.567,81.63,107.521
75,Transfer,adaptive,ml_optimized,204,True,196.633,85.95,108.709
76,Transfer,adaptive,ml_optimized,404,True,330.268,81.31,111.624
77,IssueCBDC,adaptive,static_hybrid,211,False,8.914,81.91,110.291
78,IssueCBDC,adaptive,static_hybrid,216,False,8.964,82.78,108.992
79,SettleCrossBorder,adaptive,ml_optimized,370,True,179.207,83.65,109.880
80,Transfer,adaptive,static_hybrid,166,False,8.536,82.99,108.614
81,SettleCrossBorder,adaptive,ml_optimized,350,True,163.776,83.49,109.295
82,Transfer,adaptive,ml_optimized,251,True,328.344,82.88,111.966
83,Transfer,adaptive,static_hybrid,274,False,9.467,81.30,110.731
84,Transfer,adaptive,static_hybrid,215,False,8.532,82.03,109.514
85,Transfer,adaptive,ml_optimized,183,True,186.457,84.33,110.420
86,Transfer,adaptive,ml_optimized,241,True,228.869,83.22,111.797
87,SettleCrossBorder,adaptive,ml_optimized,276,True,216.334,83.44,112.998
88,Transfer,adaptive,static_hybrid,266,False,8.898,81.77,111.815
89,SettleCrossBorder,adaptive,ml_optimized,264,True,278.297,83.87,113.686
90,IssueCBDC,adaptive,static_hybrid,318,False,9.004,81.92,112.523
91,Transfer,adaptive,static_hybrid,204,False,8.952,82.17,111.385
92,SettleCrossBorder,adaptive,ml_optimized,542,True,238.578,83.79,112.767
93,Transfer,adaptive,ml_optimized,252,True,310.319,83.57,114.892
94,Transfer,adaptive,static_hybrid,188,False,8.979,82.07,113.765
95,SettleCrossBorder,adaptive,ml_optimized,339,True,198.121,80.44,114.653
96,Transfer,adaptive,static_hybrid,183,False,9.002,81.95,113.552
97,Transfer,adaptive,static_hybrid,205,False,9.068,82.05,112.475
98,IssueCBDC,adaptive,static_hybrid,348,False,9.680,82.17,111.426
99,SettleCrossBorder,adaptive,ml_optimized,318,True,231.974,82.16,112.644
100,IssueCBDC,adaptive,static_hybrid,160,False,9.366,82.59,111.611
101,IssueCBDC,adaptive,static_hybrid,240,False,8.811,81.15,110.593
102,Transfer,adaptive,ml_optimized,306,True,269.201,83.24,112.148
103,Transfer,adaptive,ml_optimized,243,True,263.585,83.73,113.618
104,Transfer,adaptive,static_hybrid,269,False,8.912,82.48,112.612
105,IssueCBDC,adaptive,static_hybrid,283,False,9.297,82.14,111.628
106,Transfer,adaptive,static_hybrid,188,False,8.860,82.01,110.658
107,SettleCrossBorder,adaptive,ml_optimized,335,True,230.448,83.43,111.778
108,Transfer,adaptive,ml_optimized,248,True,230.153,84.16,112.874
109,IssueCBDC,adaptive,static_hybrid,372,False,10.278,81.65,111.933
110,Transfer,adaptive,static_hybrid,237,False,9.134,81.54,110.998
111,Transfer,adaptive,static_hybrid,202,False,8.980,81.23,110.079
112,IssueCBDC,adaptive,static_hybrid,403,False,9.846,81.01,109.184
113,Transfer,adaptive,static_hybrid,233,False,9.434,82.96,108.301
114,Transfer,adaptive,ml_optimized,200,True,182.629,83.83,108.953
115,IssueCBDC,adaptive,static_hybrid,376,False,9.828,82.03,108.091
116,Transfer,adaptive,ml_optimized,201,True,189.588,81.72,108.794
117,Transfer,adaptive,ml_optimized,169,True,207.387,83.78,109.637
118,SettleCrossBorder,adaptive,ml_optimized,411,True,311.485,82.81,111.347
119,IssueCBDC,adaptive,static_hybrid,325,False,9.355,82.50,110.490
120,Transfer,adaptive,ml_optimized,171,True,224.607,83.39,111.441
121,IssueCBDC,adaptive,static_hybrid,259,False,9.445,82.29,110.598
122,Transfer,adaptive,static_hybrid,153,False,8.939,83.39,109.765
123,Transfer,adaptive,ml_optimized,221,True,219.188,81.95,110.654
124,Transfer,adaptive,static_hybrid,233,False,8.571,83.45,109.831
125,SettleCrossBorder,adaptive,ml_optimized,393,True,173.445,84.41,110.340
126,Transfer,adaptive,static_hybrid,174,False,8.878,82.51,109.535
127,Transfer,adaptive,ml_optimized,260,True,257.464,81.56,110.700
128,SettleCrossBorder,adaptive,ml_optimized,279,True,231.547,83.48,111.644
129,Transfer,adaptive,static_hybrid,179,False,8.865,81.34,110.847
130,IssueCBDC,adaptive,static_hybrid,365,False,10.043,82.72,110.072
131,IssueCBDC,adaptive,static_hybrid,231,False,9.231,82.34,109.302
132,SettleCrossBorder,adaptive,ml_optimized,457,True,266.196,84.92,110.490
133,IssueCBDC,adaptive,static_hybrid,250,False,9.430,82.41,109.731
134,Transfer,adaptive,ml_optimized,154,True,202.813,82.27,110.425
135,IssueCBDC,adaptive,static_hybrid,233,False,9.058,82.67,109.674
136,IssueCBDC,adaptive,static_hybrid,263,False,9.024,82.73,108.934
137,SettleCrossBorder,adaptive,ml_optimized,303,True,250.421,84.43,109.967
138,Transfer,adaptive,static_hybrid,227,False,9.229,83.31,109.237
139,IssueCBDC,adaptive,static_hybrid,308,False,9.433,83.17,108.519
140,IssueCBDC,adaptive,static_hybrid,286,False,9.549,81.81,107.812
141,Transfer,adaptive,ml_optimized,243,True,224.119,83.69,108.637
142,SettleCrossBorder,adaptive,ml_optimized,351,True,278.620,82.63,109.834
143,IssueCBDC,adaptive,static_hybrid,265,False,9.474,81.37,109.132
144,SettleCrossBorder,adaptive,ml_optimized,367,True,219.524,81.17,109.899
145,IssueCBDC,adaptive,static_hybrid,512,False,10.888,81.17,109.216
146,Transfer,adaptive,static_hybrid,272,False,9.401,82.38,108.532
147,IssueCBDC,adaptive,static_hybrid,290,False,9.545,82.78,107.859
148,IssueCBDC,adaptive,static_hybrid,327,False,9.225,83.46,107.192
149,Transfer,adaptive,ml_optimized,213,True,171.985,81.44,107.627
150,Transfer,adaptive,static_hybrid,135,False,8.958,82.87,106.970
151,SettleCrossBorder,adaptive,ml_optimized,319,True,190.782,82.93,107.525
152,SettleCrossBorder,adaptive,ml_optimized,287,True,270.035,82.65,108.594
153,Transfer,adaptive,ml_optimized,96,True,256.653,82.99,109.561
154,SettleCrossBorder,adaptive,ml_optimized,416,True,246.433,82.64,110.450
155,Transfer,adaptive,static_hybrid,275,False,8.964,81.50,109.795
156,IssueCBDC,adaptive,static_hybrid,305,False,9.077,82.73,109.150
157,Transfer,adaptive,static_hybrid,262,False,9.383,81.05,108.514
158,IssueCBDC,adaptive,static_hybrid,234,False,9.119,81.98,107.885
159,IssueCBDC,adaptive,static_hybrid,363,False,10.435,81.80,107.272
160,Transfer,adaptive,static_hybrid,224,False,8.806,81.66,106.657
161,Transfer,adaptive,static_hybrid,200,False,8.999,82.27,106.050
162,SettleCrossBorder,adaptive,ml_optimized,257,True,135.943,83.04,106.235
163,IssueCBDC,adaptive,static_hybrid,243,False,8.755,81.52,105.637
164,IssueCBDC,adaptive,static_hybrid,306,False,9.730,81.49,105.052
165,Transfer,adaptive,ml_optimized,234,True,167.387,82.12,105.430
166,Transfer,adaptive,static_hybrid,204,False,8.926,81.08,104.849
167,SettleCrossBorder,adaptive,ml_optimized,485,True,251.372,83.49,105.726
168,SettleCrossBorder,adaptive,ml_optimized,427,True,246.501,83.92,106.564
169,IssueCBDC,adaptive,static_hybrid,239,False,9.534,82.09,105.990
170,IssueCBDC,adaptive,static_hybrid,279,False,9.931,81.90,105.425
171,Transfer,adaptive,ml_optimized,218,True,277.230,84.75,106.429
172,Transfer,adaptive,ml_optimized,307,True,195.264,84.83,106.946
173,Transfer,adaptive,ml_optimized,212,True,192.601,82.83,107.441
174,SettleCrossBorder,adaptive,ml_optimized,299,True,252.080,82.42,108.272
175,Transfer,adaptive,ml_optimized,214,True,277.552,83.76,109.240
176,Transfer,adaptive,static_hybrid,212,False,8.520,82.59,108.667
177,Transfer,adaptive,ml_optimized,197,True,212.391,82.99,109.253
178,SettleCrossBorder,adaptive,ml_optimized,336,True,168.117,82.04,109.584
179,IssueCBDC,adaptive,static_hybrid,330,False,9.959,82.68,109.027
180,IssueCBDC,adaptive,static_hybrid,371,False,10.357,81.73,108.479
181,SettleCrossBorder,adaptive,ml_optimized,273,True,184.359,81.59,108.898
182,Transfer,adaptive,static_hybrid,198,False,9.086,81.93,108.350
183,SettleCrossBorder,adaptive,ml_optimized,392,True,272.911,82.40,109.249
184,Transfer,adaptive,static_hybrid,248,False,9.204,82.98,108.706
185,Transfer,adaptive,static_hybrid,173,False,8.992,81.70,108.167
186,Transfer,adaptive,static_hybrid,263,False,9.405,82.78,107.636
187,Transfer,adaptive,ml_optimized,275,True,171.110,81.47,107.975
188,SettleCrossBorder,adaptive,ml_optimized,319,True,306.039,84.02,109.029
189,Transfer,adaptive,ml_optimized,176,True,124.041,84.57,109.108
190,Transfer,adaptive,static_hybrid,224,False,9.576,82.12,108.584
191,Transfer,adaptive,static_hybrid,194,False,9.218,81.23,108.064
192,Transfer,adaptive,static_hybrid,246,False,9.204,81.20,107.549
193,Transfer,adaptive,static_hybrid,286,False,10.098,83.23,107.044
194,Transfer,adaptive,static_hybrid,193,False,8.634,83.22,106.537
195,Transfer,adaptive,ml_optimized,225,True,261.117,80.72,107.330
196,SettleCrossBorder,adaptive,ml_optimized,433,True,208.966,83.98,107.848
197,Transfer,adaptive,static_hybrid,182,False,9.128,83.34,107.347
198,Transfer,adaptive,static_hybrid,303,False,8.954,82.76,106.850
199,Transfer,adaptive,ml_optimized,172,True,274.813,81.67,107.694
200,Transfer,adaptive,ml_optimized,218,True,226.432,84.64,108.288
201,Transfer,adaptive,static_hybrid,248,False,9.102,82.04,107.794
202,Transfer,adaptive,static_hybrid,139,False,8.572,81.69,107.303
203,SettleCrossBorder,adaptive,ml_optimized,474,True,223.295,83.69,107.874
204,SettleCrossBorder,adaptive,ml_optimized,369,True,274.958,83.27,108.694
205,Transfer,adaptive,static_hybrid,156,False,9.055,82.63,108.207
206,Transfer,adaptive,static_hybrid,202,False,9.073,82.14,107.726
207,SettleCrossBorder,adaptive,ml_optimized,349,True,231.538,81.49,108.324
208,SettleCrossBorder,adaptive,ml_optimized,404,True,234.103,82.93,108.929
209,Transfer,adaptive,static_hybrid,184,False,9.217,81.46,108.452
210,Transfer,adaptive,static_hybrid,205,False,8.892,82.75,107.978
211,SettleCrossBorder,adaptive,ml_optimized,389,True,298.191,83.70,108.879
212,SettleCrossBorder,adaptive,ml_optimized,302,True,210.747,81.37,109.360
213,Transfer,adaptive,static_hybrid,247,False,9.604,82.99,108.892
214,SettleCrossBorder,adaptive,ml_optimized,491,True,239.428,83.45,109.502
215,IssueCBDC,adaptive,static_hybrid,295,False,9.560,81.11,109.037
216,SettleCrossBorder,adaptive,ml_optimized,481,True,250.594,84.17,109.692
217,Transfer,adaptive,static_hybrid,167,False,8.865,83.25,109.227
218,Transfer,adaptive,static_hybrid,228,False,9.525,82.85,108.770
219,Transfer,adaptive,static_hybrid,154,False,9.141,81.79,108.315
220,SettleCrossBorder,adaptive,ml_optimized,341,True,291.634,83.09,109.148
221,SettleCrossBorder,adaptive,ml_optimized,241,True,163.427,83.30,109.394
222,Transfer,adaptive,static_hybrid,177,False,9.275,81.83,108.943
223,Transfer,adaptive,static_hybrid,203,False,9.544,83.46,108.497
224,Transfer,adaptive,static_hybrid,244,False,9.451,81.46,108.055
225,Transfer,adaptive,static_hybrid,186,False,8.950,81.87,107.615
226,SettleCrossBorder,adaptive,ml_optimized,386,True,267.196,82.69,108.321
227,SettleCrossBorder,adaptive,ml_optimized,397,True,143.329,83.27,108.475
228,Transfer,adaptive,ml_optimized,331,True,324.186,82.61,109.421
229,Transfer,adaptive,static_hybrid,229,False,9.231,82.53,108.984
230,Transfer,adaptive,static_hybrid,239,False,10.109,82.41,108.554
231,Transfer,adaptive,static_hybrid,202,False,9.423,82.27,108.125
232,SettleCrossBorder,adaptive,ml_optimized,296,True,166.922,82.06,108.378
233,IssueCBDC,adaptive,static_hybrid,267,False,9.370,82.73,107.953
234,Transfer,adaptive,ml_optimized,268,True,250.009,83.18,108.560
235,Transfer,adaptive,static_hybrid,333,False,9.716,82.07,108.139
236,Transfer,adaptive,ml_optimized,175,True,213.575,83.11,108.586
237,Transfer,adaptive,static_hybrid,264,False,9.365,81.95,108.168
238,Transfer,adaptive,ml_optimized,173,True,259.901,85.55,108.805
239,SettleCrossBorder,adaptive,ml_optimized,359,True,265.241,83.79,109.460
240,Transfer,adaptive,ml_optimized,111,True,170.847,83.98,109.715
241,Transfer,adaptive,ml_optimized,156,True,193.857,85.44,110.065
242,Transfer,adaptive,static_hybrid,116,False,9.752,81.77,109.650
243,SettleCrossBorder,adaptive,ml_optimized,446,True,172.837,81.06,109.910
244,Transfer,adaptive,ml_optimized,273,True,297.187,84.70,110.678
245,Transfer,adaptive,static_hybrid,232,False,8.967,82.25,110.262
246,IssueCBDC,adaptive,static_hybrid,312,False,10.086,82.72,109.855
247,Transfer,adaptive,static_hybrid,196,False,8.944,83.21,109.447
248,Transfer,adaptive,static_hybrid,256,False,10.066,81.10,109.046
249,Transfer,adaptive,ml_optimized,244,True,194.402,84.50,109.389
250,Transfer,adaptive,static_hybrid,240,False,9.372,82.36,108.989
